Re	U	Chord width	Kinematic Viscosity	Dynamic Viscosity	Density
100	0.03	0.05	0.000015	0.000018375	1.225
110	0.033	0.05	0.000015	0.000018375	1.225
120	0.036	0.05	0.000015	0.000018375	1.225
130	0.039	0.05	0.000015	0.000018375	1.225
140	0.042	0.05	0.000015	0.000018375	1.225
150	0.045	0.05	0.000015	0.000018375	1.225
160	0.048	0.05	0.000015	0.000018375	1.225
170	0.051	0.05	0.000015	0.000018375	1.225
180	0.054	0.05	0.000015	0.000018375	1.225
190	0.057	0.05	0.000015	0.000018375	1.225
200	0.060	0.05	0.000015	0.000018375	1.225
210	0.063	0.05	0.000015	0.000018375	1.225
220	0.066	0.05	0.000015	0.000018375	1.225
230	0.069	0.05	0.000015	0.000018375	1.225
240	0.072	0.05	0.000015	0.000018375	1.225
250	0.075	0.05	0.000015	0.000018375	1.225
260	0.078	0.05	0.000015	0.000018375	1.225
270	0.081	0.05	0.000015	0.000018375	1.225
280	0.084	0.05	0.000015	0.000018375	1.225
290	0.087	0.05	0.000015	0.000018375	1.225
300	0.090	0.05	0.000015	0.000018375	1.225